film_id|actor_first_name|actor_last_name|title|description|release_year|rental_duration|rental_rate|length|replacement_cost|rating|special_features|category|language
506|PENELOPE|GUINESS|LADY STAGE|A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat|2006|4|4.99|67|14.99|PG|{Trailers,Deleted Scenes,Behind the Scenes}|Horror|English             
509|PENELOPE|GUINESS|LANGUAGE COWBOY|A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park|2006|5|0.99|78|26.99|NC-17|{Trailers,Deleted Scenes}|Children|English             
605|PENELOPE|GUINESS|MULHOLLAND BEAST|A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat|2006|7|2.99|157|13.99|PG|{Trailers,Deleted Scenes,Behind the Scenes}|Foreign|English             
635|PENELOPE|GUINESS|OKLAHOMA JUMANJI|A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert|2006|7|0.99|58|15.99|PG|{Behind the Scenes}|New|English             
749|PENELOPE|GUINESS|RULES HUMAN|A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House|2006|6|4.99|153|19.99|R|{Deleted Scenes,Behind the Scenes}|Horror|English             
832|PENELOPE|GUINESS|SPLASH GUMP|A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank|2006|5|0.99|175|16.99|PG|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Family|English             
939|PENELOPE|GUINESS|VERTIGO NORTHWEST|A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan|2006|4|2.99|90|17.99|R|{Commentaries,Behind the Scenes}|Comedy|English             
970|PENELOPE|GUINESS|WESTWARD SEABISCUIT|A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China|2006|7|0.99|52|11.99|NC-17|{Commentaries,Deleted Scenes}|Classics|English             
980|PENELOPE|GUINESS|WIZARD COLDBLOODED|A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention|2006|4|4.99|75|12.99|PG|{Commentaries,Deleted Scenes,Behind the Scenes}|Music|English             
3|NICK|WAHLBERG|ADAPTATION HOLES|A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory|2006|7|2.99|50|18.99|NC-17|{Trailers,Deleted Scenes}|Documentary|English             
31|NICK|WAHLBERG|APACHE DIVINE|A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat|2006|5|4.99|92|16.99|NC-17|{Commentaries,Deleted Scenes,Behind the Scenes}|Family|English             
47|NICK|WAHLBERG|BABY HALL|A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft|2006|5|4.99|153|23.99|NC-17|{Commentaries}|Foreign|English             
105|NICK|WAHLBERG|BULL SHAWSHANK|A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies|2006|6|0.99|125|21.99|NC-17|{Deleted Scenes}|Action|English             
132|NICK|WAHLBERG|CHAINSAW UPTOWN|A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia|2006|6|0.99|114|25.99|PG|{Deleted Scenes,Behind the Scenes}|Sci-Fi|English             
145|NICK|WAHLBERG|CHISUM BEHAVIOR|A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India|2006|5|4.99|124|25.99|G|{Trailers,Commentaries,Behind the Scenes}|Family|English             
226|NICK|WAHLBERG|DESTINY SATURDAY|A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia|2006|4|4.99|56|20.99|G|{Trailers,Commentaries,Behind the Scenes}|New|English             
249|NICK|WAHLBERG|DRACULA CRYSTAL|A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House|2006|7|0.99|176|26.99|G|{Commentaries}|Classics|English             
314|NICK|WAHLBERG|FIGHT JAWBREAKER|A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse|2006|3|0.99|91|13.99|R|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Animation|English             
321|NICK|WAHLBERG|FLASH WARS|A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico|2006|3|4.99|123|21.99|NC-17|{Trailers,Commentaries,Behind the Scenes}|New|English             
357|NICK|WAHLBERG|GILBERT PELICAN|A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse|2006|7|0.99|114|13.99|G|{Trailers,Commentaries}|Classics|English             
369|NICK|WAHLBERG|GOODFELLAS SALUTE|A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory|2006|4|4.99|56|22.99|PG|{Deleted Scenes}|Sci-Fi|English             
399|NICK|WAHLBERG|HAPPINESS UNITED|A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan|2006|6|2.99|100|23.99|G|{Deleted Scenes}|Foreign|English             
458|NICK|WAHLBERG|INDIAN LOVE|A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House|2006|4|0.99|135|26.99|NC-17|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Family|English             
481|NICK|WAHLBERG|JEKYLL FROGMEN|A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank|2006|4|2.99|58|22.99|PG|{Commentaries,Deleted Scenes,Behind the Scenes}|New|English             
485|NICK|WAHLBERG|JERSEY SASSY|A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan|2006|6|4.99|60|16.99|PG|{Deleted Scenes,Behind the Scenes}|Children|English             
518|NICK|WAHLBERG|LIAISONS SWEET|A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies|2006|5|4.99|140|15.99|PG|{Commentaries,Behind the Scenes}|Travel|English             
540|NICK|WAHLBERG|LUCKY FLYING|A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat|2006|7|2.99|97|10.99|PG-13|{Trailers,Commentaries,Behind the Scenes}|Music|English             
550|NICK|WAHLBERG|MAGUIRE APACHE|A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon|2006|6|2.99|74|22.99|NC-17|{Trailers,Commentaries}|Family|English             
555|NICK|WAHLBERG|MALLRATS UNITED|A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery|2006|4|0.99|133|25.99|PG|{Trailers,Commentaries,Deleted Scenes}|Comedy|English             
561|NICK|WAHLBERG|MASK PEACH|A Boring Character Study of a Student And a Robot who must Meet a Woman in California|2006|6|2.99|123|26.99|NC-17|{Commentaries,Deleted Scenes}|New|English             
742|NICK|WAHLBERG|ROOF CHAMPION|A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon|2006|7|0.99|101|25.99|R|{Deleted Scenes,Behind the Scenes}|Games|English             
754|NICK|WAHLBERG|RUSHMORE MERMAID|A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank|2006|6|2.99|150|17.99|PG-13|{Trailers,Commentaries,Deleted Scenes}|Comedy|English             
811|NICK|WAHLBERG|SMILE EARRING|A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin|2006|4|2.99|60|29.99|G|{Commentaries,Behind the Scenes}|Travel|English             
958|NICK|WAHLBERG|WARDROBE PHANTOM|A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India|2006|6|2.99|178|19.99|G|{Trailers,Commentaries}|Drama|English             
17|ED|CHASE|ALONE TRIP|A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House|2006|3|0.99|82|14.99|R|{Trailers,Behind the Scenes}|Music|English             
40|ED|CHASE|ARMY FLINTSTONES|A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria|2006|4|0.99|148|22.99|R|{Trailers,Commentaries}|Documentary|English             
42|ED|CHASE|ARTIST COLDBLOODED|A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California|2006|5|2.99|170|10.99|NC-17|{Trailers,Behind the Scenes}|Sports|English             
87|ED|CHASE|BOONDOCK BALLROOM|A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico|2006|7|0.99|76|14.99|NC-17|{Behind the Scenes}|Travel|English             
111|ED|CHASE|CADDYSHACK JEDI|A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia|2006|3|0.99|52|17.99|NC-17|{Commentaries,Deleted Scenes}|Action|English             
185|ED|CHASE|COWBOY DOOM|A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon|2006|3|2.99|146|10.99|PG|{Commentaries,Deleted Scenes,Behind the Scenes}|Foreign|English             
289|ED|CHASE|EVE RESURRECTION|A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon|2006|5|4.99|66|25.99|G|{Trailers,Commentaries,Deleted Scenes}|New|English             
329|ED|CHASE|FORREST SONS|A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat|2006|4|2.99|63|15.99|R|{Commentaries}|Action|English             
336|ED|CHASE|FRENCH HOLIDAY|A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin|2006|5|4.99|99|22.99|PG|{Behind the Scenes}|Documentary|English             
341|ED|CHASE|FROST HEAD|A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention|2006|5|0.99|82|13.99|PG|{Trailers,Deleted Scenes}|Classics|English             
393|ED|CHASE|HALLOWEEN NUTS|A Amazing Panorama of a Forensic Psychologist And a Technical Writer who must Fight a Dentist in A U-Boat|2006|6|2.99|47|19.99|PG-13|{Deleted Scenes}|Documentary|English             
441|ED|CHASE|HUNTER ALTER|A Emotional Drama of a Mad Cow And a Boat who must Redeem a Secret Agent in A Shark Tank|2006|5|2.99|125|21.99|PG-13|{Commentaries,Deleted Scenes,Behind the Scenes}|Documentary|English             
453|ED|CHASE|IMAGE PRINCESS|A Lacklusture Panorama of a Secret Agent And a Crocodile who must Discover a Madman in The Canadian Rockies|2006|3|2.99|178|17.99|PG-13|{Trailers,Commentaries,Deleted Scenes}|Sports|English             
480|ED|CHASE|JEEPERS WEDDING|A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia|2006|3|2.99|84|29.99|R|{Trailers,Commentaries,Deleted Scenes}|Classics|English             
539|ED|CHASE|LUCK OPUS|A Boring Display of a Moose And a Squirrel who must Outrace a Teacher in A Shark Tank|2006|7|2.99|152|21.99|NC-17|{Trailers,Commentaries,Behind the Scenes}|Drama|English             
618|ED|CHASE|NECKLACE OUTBREAK|A Astounding Epistle of a Database Administrator And a Mad Scientist who must Pursue a Cat in California|2006|3|0.99|132|21.99|PG|{Trailers,Commentaries,Behind the Scenes}|Drama|English             
685|ED|CHASE|PLATOON INSTINCT|A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia|2006|6|4.99|132|10.99|PG-13|{Trailers,Commentaries}|New|English             
827|ED|CHASE|SPICE SORORITY|A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft|2006|5|4.99|141|22.99|NC-17|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Drama|English             
966|ED|CHASE|WEDDING APOLLO|A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft|2006|3|0.99|70|14.99|PG|{Trailers}|Documentary|English             
967|ED|CHASE|WEEKEND PERSONAL|A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat|2006|5|2.99|134|26.99|R|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Sci-Fi|English             
971|ED|CHASE|WHALE BIKINI|A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention|2006|4|4.99|109|11.99|PG-13|{Commentaries,Deleted Scenes,Behind the Scenes}|Foreign|English             
996|ED|CHASE|YOUNG LANGUAGE|A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station|2006|6|0.99|183|9.99|G|{Trailers,Behind the Scenes}|Documentary|English             
23|JENNIFER|DAVIS|ANACONDA CONFESSIONS|A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia|2006|3|0.99|92|9.99|R|{Trailers,Deleted Scenes}|Animation|English             
25|JENNIFER|DAVIS|ANGELS LIFE|A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin|2006|3|2.99|74|15.99|G|{Trailers}|New|English             
56|JENNIFER|DAVIS|BAREFOOT MANCHURIAN|A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park|2006|6|2.99|129|15.99|G|{Trailers,Commentaries}|Action|English             
62|JENNIFER|DAVIS|BED HIGHBALL|A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House|2006|5|2.99|106|23.99|NC-17|{Trailers,Commentaries,Deleted Scenes}|Documentary|English             
79|JENNIFER|DAVIS|BLADE POLISH|A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station|2006|5|0.99|114|10.99|PG-13|{Trailers,Behind the Scenes}|Drama|English             
87|JENNIFER|DAVIS|BOONDOCK BALLROOM|A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico|2006|7|0.99|76|14.99|NC-17|{Behind the Scenes}|Travel|English             
355|JENNIFER|DAVIS|GHOSTBUSTERS ELF|A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin|2006|7|0.99|101|18.99|R|{Trailers,Deleted Scenes,Behind the Scenes}|Animation|English             
379|JENNIFER|DAVIS|GREEDY ROOTS|A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies|2006|7|0.99|166|14.99|R|{Trailers,Commentaries,Deleted Scenes}|Drama|English             
398|JENNIFER|DAVIS|HANOVER GALAXY|A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention|2006|5|4.99|47|21.99|NC-17|{Commentaries,Deleted Scenes,Behind the Scenes}|Music|English             
463|JENNIFER|DAVIS|INSTINCT AIRPORT|A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse|2006|4|2.99|116|21.99|PG|{Commentaries,Deleted Scenes}|Sports|English             
490|JENNIFER|DAVIS|JUMANJI BLADE|A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans|2006|4|2.99|121|13.99|G|{Commentaries,Behind the Scenes}|New|English             
616|JENNIFER|DAVIS|NATIONAL STORY|A Taut Epistle of a Mad Scientist And a Girl who must Escape a Monkey in California|2006|4|2.99|92|19.99|NC-17|{Trailers}|Documentary|English             
635|JENNIFER|DAVIS|OKLAHOMA JUMANJI|A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert|2006|7|0.99|58|15.99|PG|{Behind the Scenes}|New|English             
691|JENNIFER|DAVIS|POSEIDON FOREVER|A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery|2006|6|4.99|159|29.99|PG-13|{Commentaries}|Sports|English             
712|JENNIFER|DAVIS|RAIDERS ANTITRUST|A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station|2006|4|0.99|82|11.99|PG-13|{Deleted Scenes}|Documentary|English             
714|JENNIFER|DAVIS|RANDOM GO|A Fateful Drama of a Frisbee And a Student who must Confront a Cat in A Shark Tank|2006|6|2.99|73|29.99|NC-17|{Trailers}|Sci-Fi|English             
721|JENNIFER|DAVIS|REDS POCUS|A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia|2006|7|4.99|182|23.99|PG-13|{Trailers,Behind the Scenes}|Music|English             
798|JENNIFER|DAVIS|SILVERADO GOLDFINGER|A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India|2006|4|4.99|74|11.99|PG|{Trailers,Commentaries}|Sci-Fi|English             
832|JENNIFER|DAVIS|SPLASH GUMP|A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank|2006|5|0.99|175|16.99|PG|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Family|English             
858|JENNIFER|DAVIS|SUBMARINE BED|A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia|2006|5|4.99|127|21.99|R|{Trailers}|Comedy|English             
909|JENNIFER|DAVIS|TREASURE COMMAND|A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California|2006|3|0.99|102|28.99|PG-13|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Horror|English             
924|JENNIFER|DAVIS|UNFORGIVEN ZOOLANDER|A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory|2006|7|0.99|129|15.99|PG|{Trailers,Commentaries,Behind the Scenes}|Sci-Fi|English             
19|JOHNNY|LOLLOBRIGIDA|AMADEUS HOLY|A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon|2006|6|0.99|113|20.99|PG|{Commentaries,Deleted Scenes,Behind the Scenes}|Action|English             
54|JOHNNY|LOLLOBRIGIDA|BANGER PINOCCHIO|A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station|2006|5|0.99|113|15.99|R|{Trailers,Commentaries,Deleted Scenes}|Music|English             
85|JOHNNY|LOLLOBRIGIDA|BONNIE HOLOCAUST|A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan|2006|4|0.99|63|29.99|G|{Deleted Scenes}|Documentary|English             
146|JOHNNY|LOLLOBRIGIDA|CHITTY LOCK|A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station|2006|6|2.99|107|24.99|G|{Commentaries}|Drama|English             
171|JOHNNY|LOLLOBRIGIDA|COMMANDMENTS EXPRESS|A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft|2006|6|4.99|59|13.99|R|{Trailers,Commentaries,Deleted Scenes}|Horror|English             
172|JOHNNY|LOLLOBRIGIDA|CONEHEADS SMOOCHY|A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria|2006|7|4.99|112|12.99|NC-17|{Deleted Scenes,Behind the Scenes}|Drama|English             
202|JOHNNY|LOLLOBRIGIDA|DADDY PITTSBURGH|A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico|2006|5|4.99|161|26.99|G|{Deleted Scenes,Behind the Scenes}|Comedy|English             
203|JOHNNY|LOLLOBRIGIDA|DAISY MENAGERIE|A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India|2006|5|4.99|84|9.99|G|{Trailers,Commentaries,Behind the Scenes}|Sci-Fi|English             
286|JOHNNY|LOLLOBRIGIDA|ENOUGH RAGING|A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert|2006|7|2.99|158|16.99|NC-17|{Commentaries}|Travel|English             
288|JOHNNY|LOLLOBRIGIDA|ESCAPE METROPOLIS|A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans|2006|7|2.99|167|20.99|R|{Trailers}|Travel|English             
316|JOHNNY|LOLLOBRIGIDA|FIRE WOLVES|A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria|2006|5|4.99|173|18.99|R|{Trailers}|Games|English             
340|JOHNNY|LOLLOBRIGIDA|FRONTIER CABIN|A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House|2006|6|4.99|183|14.99|PG-13|{Commentaries,Deleted Scenes}|New|English             
369|JOHNNY|LOLLOBRIGIDA|GOODFELLAS SALUTE|A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory|2006|4|4.99|56|22.99|PG|{Deleted Scenes}|Sci-Fi|English             
375|JOHNNY|LOLLOBRIGIDA|GRAIL FRANKENSTEIN|A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft|2006|4|2.99|85|17.99|NC-17|{Commentaries,Deleted Scenes,Behind the Scenes}|Action|English             
383|JOHNNY|LOLLOBRIGIDA|GROOVE FICTION|A Unbelieveable Reflection of a Moose And a A Shark who must Defeat a Lumberjack in An Abandoned Mine Shaft|2006|6|0.99|111|13.99|NC-17|{Behind the Scenes}|Sports|English             
392|JOHNNY|LOLLOBRIGIDA|HALL CASSIDY|A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia|2006|5|4.99|51|13.99|NC-17|{Commentaries,Behind the Scenes}|Children|English             
411|JOHNNY|LOLLOBRIGIDA|HEAVENLY GUN|A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat|2006|5|4.99|49|13.99|NC-17|{Behind the Scenes}|Music|English             
503|JOHNNY|LOLLOBRIGIDA|KRAMER CHOCOLATE|A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback|2006|3|2.99|171|24.99|R|{Trailers}|Sports|English             
535|JOHNNY|LOLLOBRIGIDA|LOVE SUICIDES|A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House|2006|6|0.99|181|21.99|R|{Trailers,Behind the Scenes}|Horror|English             
571|JOHNNY|LOLLOBRIGIDA|METAL ARMAGEDDON|A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory|2006|6|2.99|161|26.99|PG-13|{Trailers,Commentaries,Deleted Scenes}|Documentary|English             
650|JOHNNY|LOLLOBRIGIDA|PACIFIC AMISTAD|A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse|2006|3|0.99|144|27.99|G|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Documentary|English             
665|JOHNNY|LOLLOBRIGIDA|PATTON INTERVIEW|A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin|2006|4|2.99|175|22.99|PG|{Commentaries}|Horror|English             
687|JOHNNY|LOLLOBRIGIDA|POCUS PULP|A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory|2006|6|0.99|138|15.99|NC-17|{Commentaries,Deleted Scenes,Behind the Scenes}|Documentary|English             
730|JOHNNY|LOLLOBRIGIDA|RIDGEMONT SUBMARINE|A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan|2006|3|0.99|46|28.99|PG-13|{Commentaries,Deleted Scenes,Behind the Scenes}|New|English             
732|JOHNNY|LOLLOBRIGIDA|RINGS HEARTBREAKERS|A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans|2006|5|0.99|58|17.99|G|{Trailers,Commentaries,Behind the Scenes}|Action|English             
811|JOHNNY|LOLLOBRIGIDA|SMILE EARRING|A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin|2006|4|2.99|60|29.99|G|{Commentaries,Behind the Scenes}|Travel|English             
817|JOHNNY|LOLLOBRIGIDA|SOLDIERS EVOLUTION|A Lacklusture Panorama of a A Shark And a Pioneer who must Confront a Student in The First Manned Space Station|2006|7|4.99|185|27.99|R|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Sci-Fi|English             
841|JOHNNY|LOLLOBRIGIDA|STAR OPERATION|A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank|2006|5|2.99|181|9.99|PG|{Commentaries}|Sports|English             
865|JOHNNY|LOLLOBRIGIDA|SUNRISE LEAGUE|A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse|2006|3|4.99|135|19.99|PG-13|{Behind the Scenes}|Animation|English             
29|BETTE|NICHOLSON|ANTITRUST TOMATOES|A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India|2006|5|2.99|168|11.99|NC-17|{Trailers,Commentaries,Deleted Scenes}|Action|English             
53|BETTE|NICHOLSON|BANG KWAI|A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park|2006|5|2.99|87|25.99|NC-17|{Commentaries,Deleted Scenes,Behind the Scenes}|Family|English             
60|BETTE|NICHOLSON|BEAST HUNCHBACK|A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China|2006|3|4.99|89|22.99|R|{Deleted Scenes,Behind the Scenes}|Classics|English             
70|BETTE|NICHOLSON|BIKINI BORROWERS|A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station|2006|7|4.99|142|26.99|NC-17|{Commentaries,Deleted Scenes}|Animation|English             
112|BETTE|NICHOLSON|CALENDAR GUNFIGHT|A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria|2006|4|4.99|120|22.99|NC-17|{Trailers,Commentaries,Behind the Scenes}|Foreign|English             
164|BETTE|NICHOLSON|COAST RAINBOW|A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert|2006|4|0.99|55|20.99|PG|{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}|Documentary|English             
